# file_type,laser_power_calibration
# saved_utc,2026-05-29T17:21:13.751+00:00
# filter_state,none
setpoint_W,measured_power_W,measured_power_std_W,n_reads,timestamp_utc,port,box_id,channel,wavelength_nm,filter_state
1.000000000000e-03,8.405786333333e-04,6.791418130422e-07,3,2026-05-29T17:18:23.484+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
9.631578947368e-03,2.855323666667e-03,3.225278627067e-07,3,2026-05-29T17:18:31.515+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.826315789474e-02,5.038755333333e-03,9.117244954236e-07,3,2026-05-29T17:18:39.619+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
2.689473684211e-02,7.228046666667e-03,5.356182305422e-07,3,2026-05-29T17:18:47.529+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
3.552631578947e-02,9.415450333333e-03,7.834353125111e-07,3,2026-05-29T17:18:55.693+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
4.415789473684e-02,1.166123000000e-02,7.487322618932e-07,3,2026-05-29T17:19:03.567+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
5.278947368421e-02,1.383894666667e-02,7.872878903053e-07,3,2026-05-29T17:19:11.600+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
6.142105263158e-02,1.603526333333e-02,5.516238654088e-07,3,2026-05-29T17:19:19.645+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
7.005263157895e-02,1.822862000000e-02,5.062278801749e-07,3,2026-05-29T17:19:27.702+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
7.868421052632e-02,2.041983666667e-02,3.308910528996e-07,3,2026-05-29T17:19:35.633+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
8.731578947368e-02,2.250218000000e-02,8.247827996921e-07,3,2026-05-29T17:19:43.997+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
9.594736842105e-02,2.466936333333e-02,7.255955408419e-07,3,2026-05-29T17:19:51.937+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.045789473684e-01,2.685701333333e-02,1.956090204690e-06,3,2026-05-29T17:20:00.011+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.132105263158e-01,2.905017666667e-02,8.255234029922e-07,3,2026-05-29T17:20:07.913+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.218421052632e-01,3.124097333333e-02,2.910811265303e-06,3,2026-05-29T17:20:16.027+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.304736842105e-01,3.343305666667e-02,1.277636707187e-06,3,2026-05-29T17:20:24.022+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.391052631579e-01,3.563969333333e-02,6.968660001930e-07,3,2026-05-29T17:20:31.823+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.477368421053e-01,3.782729666667e-02,7.068396014791e-07,3,2026-05-29T17:20:39.967+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.563684210526e-01,4.001335666667e-02,1.517988435032e-06,3,2026-05-29T17:20:48.322+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
1.650000000000e-01,4.177335000000e-02,8.256310717658e-07,3,2026-05-29T17:20:56.221+00:00,COM3,"Coherent, Inc. - DefaultModelName - v1.0.5 - 20130109",3,532.0,none
